	SampleID	Source.Name	Comment.ENA_SAMPLE.	Material.Type	Provider	Characteristics.organism.	Characteristics.specimen.with.known.storage.state.	Characteristics.genotype.	Characteristics.organism.part.	Characteristics.cell.property.	Characteristics.developmental.stage.	Characteristics.cell.type.	Characteristics.phenotype.	Protocol.REF	Protocol.REF.1	Protocol.REF.2	Extract.Name	Material.Type.1	Comment.LIBRARY_LAYOUT.	Comment.LIBRARY_SOURCE.	Comment.LIBRARY_STRATEGY.	Comment.LIBRARY_SELECTION.	Comment.NOMINAL_LENGTH.	Comment.ORIENTATION.	Protocol.REF.3	Performer	Assay.Name	Technology.Type	Comment.ENA_EXPERIMENT.	Scan.Name	Comment.SUBMITTED_FILE_NAME.	Comment.ENA_RUN.	Comment.FASTQ_URI.	Comment.MD5.	Comment.READ_INDEX_1_BASE_COORD.	Comment.SPOT_LENGTH.	Factor.Value.cell.type.
2	ERR431597	SQ_0011	ERS403416	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0011	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0011	sequencing assay	ERX397881	SQ_0011_R1.fastq.gz	SQ_0011_R1.fastq.gz	ERR431597	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431597/ERR431597_1.fastq.gz	44b2099e260eb3099ec10395a0f8215d	102	101	CD4 Th17
13	ERR431604	SQ_0052	ERS403389	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0052	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	474	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0052	sequencing assay	ERX397854	SQ_0052_R1.fastq.gz	SQ_0052_R1.fastq.gz	ERR431604	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431604/ERR431604_1.fastq.gz	541a38bcf25e8ef135638e19329955a9	102	101	CD4 Th17
59	ERR431611	SQ_0174	ERS403402	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Naive	CD19+ CD5- CD27-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0174	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	458	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0174	sequencing assay	ERX397867	SQ_0174_R1.fastq.gz	SQ_0174_R1.fastq.gz	ERR431611	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431611/ERR431611_1.fastq.gz	da35187954ec9064cbe368439f6c5481	102	101	B Naive
15	ERR431618	SQ_0055	ERS403396	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0055	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	452	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0055	sequencing assay	ERX397861	SQ_0055_R1.fastq.gz	SQ_0055_R1.fastq.gz	ERR431618	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431618/ERR431618_1.fastq.gz	24b085bc666451f2a7bb6dc10fc45d82	102	101	CD4 Th17
12	ERR431625	SQ_0051	ERS403412	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th17	CD4+ CCR6+ CD161+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0051	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	451	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0051	sequencing assay	ERX397877	SQ_0051_R1.fastq.gz	SQ_0051_R1.fastq.gz	ERR431625	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431625/ERR431625_1.fastq.gz	f914263c316abe4a76a0be9cae83688d	102	101	CD4 Th17
10	ERR431570	SQ_0048	ERS403425	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0048	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	438	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0048	sequencing assay	ERX397890	SQ_0048_R1.fastq.gz	SQ_0048_R1.fastq.gz	ERR431570	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431570/ERR431570_1.fastq.gz	51051f7714d1b68f9b9df34cb9937383	102	101	CD4 Th1
9	ERR431577	SQ_0047	ERS403382	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0047	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	364	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0047	sequencing assay	ERX397847	SQ_0047_R1.fastq.gz	SQ_0047_R1.fastq.gz	ERR431577	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431577/ERR431577_1.fastq.gz	1938ff117e3b4c01435d73b17c1aa957	102	101	CD4 Th1
8	ERR431584	SQ_0046	ERS403400	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th1	CD4+ CXCR3+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0046	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	426	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0046	sequencing assay	ERX397865	SQ_0046_R1.fastq.gz	SQ_0046_R1.fastq.gz	ERR431584	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431584/ERR431584_1.fastq.gz	4033348ba5fdff69d248eec2f856b029	102	101	CD4 Th1
57	ERR431591	SQ_0172	ERS403409	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B CD5	CD19+ CD5+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0172	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	448	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0172	sequencing assay	ERX397874	SQ_0172_R1.fastq.gz	SQ_0172_R1.fastq.gz	ERR431591	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431591/ERR431591_1.fastq.gz	073d797b293b668e1da1d69699a10a3c	102	101	B CD5
34	ERR431598	SQ_0149	ERS403407	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Central Memory	CD4+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0149	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	435	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0149	sequencing assay	ERX397872	SQ_0149_R1.fastq.gz	SQ_0149_R1.fastq.gz	ERR431598	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431598/ERR431598_1.fastq.gz	b7663b176ff42a5a99674907600772bf	102	101	CD4 Central Memory
41	ERR431605	SQ_0156	ERS403392	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Naive	CD8+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0156	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	436	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0156	sequencing assay	ERX397857	SQ_0156_R1.fastq.gz	SQ_0156_R1.fastq.gz	ERR431605	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431605/ERR431605_1.fastq.gz	69205efa0eb8a091bbb7ef83813bedbe	102	101	CD8 Naive
40	ERR431612	SQ_0155	ERS403394	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Naive	CD8+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0155	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	409	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0155	sequencing assay	ERX397859	SQ_0155_R1.fastq.gz	SQ_0155_R1.fastq.gz	ERR431612	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431612/ERR431612_1.fastq.gz	da8eb4d1423835d2287b46287673a71c	102	101	CD8 Naive
28	ERR431619	SQ_0134	ERS403380	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Naive	CD19+ CD5- CD27-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0134	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	414	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0134	sequencing assay	ERX397845	SQ_0134_R1.fastq.gz	SQ_0134_R1.fastq.gz	ERR431619	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431619/ERR431619_1.fastq.gz	f3507414764121bfcabb9fb89daaea2e	102	101	B Naive
31	ERR431626	SQ_0146	ERS403431	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Central Memory	CD4+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0146	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	433	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0146	sequencing assay	ERX397896	SQ_0146_R1.fastq.gz	SQ_0146_R1.fastq.gz	ERR431626	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431626/ERR431626_1.fastq.gz	ff82604ca2aef447e50203d039d0b4fd	102	101	CD4 Central Memory
23	ERR431571	SQ_0082	ERS403401	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Naive	CD4+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0082	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	455	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0082	sequencing assay	ERX397866	SQ_0082_R1.fastq.gz	SQ_0082_R1.fastq.gz	ERR431571	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431571/ERR431571_1.fastq.gz	7eba33bd1d15f500a8f9d8e4904e5f7c	102	101	CD4 Naive
46	ERR431578	SQ_0161	ERS403406	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Central Memory	CD8+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0161	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	458	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0161	sequencing assay	ERX397871	SQ_0161_R1.fastq.gz	SQ_0161_R1.fastq.gz	ERR431578	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431578/ERR431578_1.fastq.gz	7d11395605510cf1164889bd15803e05	102	101	CD8 Central Memory
51	ERR431585	SQ_0166	ERS403418	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Effector Memory	CD8+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0166	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	462	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0166	sequencing assay	ERX397883	SQ_0166_R1.fastq.gz	SQ_0166_R1.fastq.gz	ERR431585	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431585/ERR431585_1.fastq.gz	4f466ad1bc4c332c9fda8a46209cb767	102	101	CD8 Effector Memory
44	ERR431592	SQ_0159	ERS403379	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Naive	CD8+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0159	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	440	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0159	sequencing assay	ERX397844	SQ_0159_R1.fastq.gz	SQ_0159_R1.fastq.gz	ERR431592	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431592/ERR431592_1.fastq.gz	b99aeb9539c9e8ecc6e12dac0f733101	102	101	CD8 Naive
55	ERR431599	SQ_0170	ERS403422	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B CD5	CD19+ CD5+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0170	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	467	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0170	sequencing assay	ERX397887	SQ_0170_R1.fastq.gz	SQ_0170_R1.fastq.gz	ERR431599	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431599/ERR431599_1.fastq.gz	7888a99378b0b5edff03c90a35a10a6c	102	101	B CD5
6	ERR431606	SQ_0022	ERS403386	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Treg	CD4+ CD127- CD25+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0022	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0022	sequencing assay	ERX397851	SQ_0022_R1.fastq.gz	SQ_0022_R1.fastq.gz	ERR431606	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431606/ERR431606_1.fastq.gz	b9fd31742d7a4eff1790982a64795146	102	101	CD4 Treg
62	ERR431613	SQ_0177	ERS403432	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Memory	CD19+ CD5- CD27+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0177	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	403	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0177	sequencing assay	ERX397897	SQ_0177_R1.fastq.gz	SQ_0177_R1.fastq.gz	ERR431613	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431613/ERR431613_1.fastq.gz	d981211db362d4201d7afdd7ffd3487e	102	101	B Memory
32	ERR431620	SQ_0147	ERS403384	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Central Memory	CD4+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0147	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	451	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0147	sequencing assay	ERX397849	SQ_0147_R1.fastq.gz	SQ_0147_R1.fastq.gz	ERR431620	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431620/ERR431620_1.fastq.gz	b415018d2cd1877be2352be82ba45ae7	102	101	CD4 Central Memory
43	ERR431627	SQ_0158	ERS403398	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Naive	CD8+ CCR7+ CD45RA+ CD45RO-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0158	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0158	sequencing assay	ERX397863	SQ_0158_R1.fastq.gz	SQ_0158_R1.fastq.gz	ERR431627	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431627/ERR431627_1.fastq.gz	2521277f8a628dccf3259d3661849110	102	101	CD8 Naive
24	ERR431572	SQ_0096	ERS403378	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Naive	CD19+ CD5- CD27-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0096	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	453	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0096	sequencing assay	ERX397843	SQ_0096_R1.fastq.gz	SQ_0096_R1.fastq.gz	ERR431572	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431572/ERR431572_1.fastq.gz	2290a10e3a768befb7a775c14529ddd0	102	101	B Naive
4	ERR431579	SQ_0015	ERS403415	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0015	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0015	sequencing assay	ERX397880	SQ_0015_R1.fastq.gz	SQ_0015_R1.fastq.gz	ERR431579	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431579/ERR431579_1.fastq.gz	261aedf7b2c309e2e327f3a5d6a8bcdb	102	101	CD4 Th2
49	ERR431586	SQ_0164	ERS403427	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	B Naive	CD19+ CD5- CD27-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0164	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	449	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0164	sequencing assay	ERX397892	SQ_0164_R1.fastq.gz	SQ_0164_R1.fastq.gz	ERR431586	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431586/ERR431586_1.fastq.gz	06e5d214dbd845a656b2687389263428	102	101	B Naive
47	ERR431593	SQ_0162	ERS403399	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Central Memory	CD8+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0162	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	451	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0162	sequencing assay	ERX397864	SQ_0162_R1.fastq.gz	SQ_0162_R1.fastq.gz	ERR431593	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431593/ERR431593_1.fastq.gz	3ba7361d2566990c88c8b2096a6e6c0a	102	101	CD8 Central Memory
16	ERR431600	SQ_0056	ERS403376	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0056	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	441	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0056	sequencing assay	ERX397841	SQ_0056_R1.fastq.gz	SQ_0056_R1.fastq.gz	ERR431600	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431600/ERR431600_1.fastq.gz	1f842caa6dcaf869e89c161e5edb0091	102	101	CD4 Th2
45	ERR431607	SQ_0160	ERS403377	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Central Memory	CD8+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0160	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	467	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0160	sequencing assay	ERX397842	SQ_0160_R1.fastq.gz	SQ_0160_R1.fastq.gz	ERR431607	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431607/ERR431607_1.fastq.gz	54a6ed922864115ec9537258e22d6777	102	101	CD8 Central Memory
33	ERR431614	SQ_0148	ERS403403	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Central Memory	CD4+ CCR7+ CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0148	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	442	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0148	sequencing assay	ERX397868	SQ_0148_R1.fastq.gz	SQ_0148_R1.fastq.gz	ERR431614	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431614/ERR431614_1.fastq.gz	0396250dbadf21fdd9c8d6600a4c320c	102	101	CD4 Central Memory
50	ERR431621	SQ_0165	ERS403397	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD8 Effector Memory	CD8+ CCR7- CD45RA- CD45RO+	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0165	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	438	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0165	sequencing assay	ERX397862	SQ_0165_R1.fastq.gz	SQ_0165_R1.fastq.gz	ERR431621	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431621/ERR431621_1.fastq.gz	fec3a3453a0e00e8b2c86a635f617cb8	102	101	CD8 Effector Memory
3	ERR431628	SQ_0014	ERS403408	cell	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi	Homo sapiens	fresh specimen	wild type genotype	blood	primary cell	differentiated	CD4 Th2	CD4+ CRTH2+ CXCR3-	P-MTAB-37618	P-MTAB-37619	P-MTAB-37620	SQ_0014	polyA RNA	PAIRED	TRANSCRIPTOMIC	ncRNA-Seq	RANDOM	450	5-3-3-5	P-MTAB-37621	Istituto Nazionale Genetica Molecolare Romeo ed Enrica Invernizzi, Milan, Italy	SQ_0014	sequencing assay	ERX397873	SQ_0014_R1.fastq.gz	SQ_0014_R1.fastq.gz	ERR431628	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/ERR431628/ERR431628_1.fastq.gz	53712fac59e70839151043443bf0f905	102	101	CD4 Th2
